1 	2001 	07 NOV 19 	29 NOV 19 	02 JAN 20
2 	2002 	05 DEC 19 	27 DEC 19 	30 JAN 20
3 	2003 	02 JAN 20 	24 JAN 20 	27 FEB 20
4 	2004 	30 JAN 20 	21 FEB 20 	26 MAR 20
5 	2005 	27 FEB 20 	20 MAR 20 	23 APR 20
6 	2006 	26 MAR 20 	17 APR 20 	21 MAY 20
7 	2007 	23 APR 20 	15 MAY 20 	18 JUN 20
8 	2008 	21 MAY 20 	12 JUN 20 	16 JUL 20
9 	2009 	18 JUN 20 	10 JUL 20 	13 AUG 20
10 	2010 	16 JUL 20 	07 AUG 20 	10 SEP 20
11 	2011 	13 AUG 20 	04 SEP 20 	08 OCT 20
12 	2012 	10 SEP 20 	02 OCT 20 	05 NOV 20
13 	2013 	08 OCT 20 	30 OCT 20 	03 DEC 20
14 	2014 	05 NOV 20 	27 NOV 20 	31 DEC 20
1 	2101 	03 DEC 20 	25 DEC 20 	28 JAN 21
2 	2102 	31 DEC 20 	22 JAN 21 	25 FEB 21
3 	2103 	28 JAN 21 	19 FEB 21 	25 MAR 21
4 	2104 	25 FEB 21 	19 MAR 21 	22 APR 21
5 	2105 	25 MAR 21 	16 APR 21 	20 MAY 21
6 	2106 	22 APR 21 	14 MAY 21 	17 JUN 21
7 	2107 	20 MAY 21 	11 JUN 21 	15 JUL 21
8 	2108 	17 JUN 21 	09 JUL 21 	12 AUG 21
9 	2109 	15 JUL 21 	06 AUG 21 	09 SEP 21
10 	2110 	12 AUG 21 	03 SEP 21 	07 OCT 21
11 	2111 	09 SEP 21 	01 OCT 21 	04 NOV 21
12 	2112 	07 OCT 21 	29 OCT 21 	02 DEC 21
13 	2113 	04 NOV 16 	26 NOV 21 	30 DEC 21
1 	2201 	02 DEC 21 	24 DEC 21 	27 JAN 22
2 	2202 	30 DEC 21 	21 JAN 22 	24 FEB 22
3 	2203 	27 JAN 22 	18 FEB 22 	24 MAR 22
4 	2204 	24 FEB 22 	18 MAR 22 	21 APR 22
5 	2205 	24 MAR 22 	15 APR 22 	19 MAY 22
6 	2206 	21 APR 22 	13 MAY 22 	16 JUN 22
7 	2207 	19 MAY 22 	10 JUN 22 	14 JUL 22
8 	2208 	16 JUN 22 	08 JUL 22 	11 AUG 22
9 	2209 	14 JUL 22 	05 AUG 22 	08 SEP 22
10 	2210 	11 AUG 22 	02 SEP 22 	06 OCT 22
11 	2211 	08 SEP 22 	30 SEP 22 	03 NOV 22
12 	2212 	06 OCT 22 	28 OCT 22 	01 DEC 22
13 	2213 	03 NOV 22 	25 NOV 22 	29 DEC 22
1 	2301 	01 DEC 22 	23 DEC 22 	26 JAN 23
2 	2302 	29 DEC 22 	20 JAN 23 	23 FEB 23
3 	2303 	26 JAN 23 	17 FEB 23 	23 MAR 23
4 	2304 	23 FEB 23 	17 MAR 23 	20 APR 23
5 	2305 	23 MAR 23 	14 APR 23 	18 MAY 23
6 	2306 	20 APR 23 	12 MAY 23 	15 JUN 23
7 	2307 	18 MAY 23 	09 JUN 23 	13 JUL 23
8 	2308 	15 JUN 23 	07 JUL 23 	10 AUG 23
9 	2309 	13 JUL 23 	04 AUG 23 	07 SEP 23
10 	2310 	10 AUG 23 	01 SEP 23 	05 OCT 23
11 	2311 	07 SEP 23 	29 SEP 23 	02 NOV 23
12 	2312 	05 OCT 23 	27 OCT 23 	30 NOV 23
13 	2313 	02 NOV 23 	24 NOV 23 	28 DEC 23
